rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,5,20,0.4,propagule,0.1,0,0.0,1143,0,0
1,5,21,0.4,propagule,0.1,0,0.0,1096,0,0
1,5,22,0.4,propagule,0.1,0,0.0,1123,0,0
1,5,23,0.4,propagule,0.1,0,0.0,1087,0,0
1,5,24,0.4,propagule,0.1,0,0.0,1064,0,0
1,5,25,0.4,propagule,0.1,0,0.0,1025,0,0
1,5,26,0.4,propagule,0.1,0,0.0,1021,0,0
1,5,27,0.4,propagule,0.1,0,0.0,1031,0,0
1,5,28,0.4,propagule,0.1,0,0.0,1017,0,0
1,5,29,0.4,propagule,0.1,0,0.0,1005,0,0
1,5,30,0.4,propagule,0.1,0,0.0,1001,0,0
1,5,31,0.4,propagule,0.1,0,0.0,995,0,0
1,5,32,0.4,propagule,0.1,0,0.0,981,0,0
1,5,33,0.4,propagule,0.1,0,0.0,947,0,0
1,5,34,0.4,propagule,0.1,0,0.0,932,0,0
1,5,35,0.4,propagule,0.1,0,0.0,922,0,0
1,5,36,0.4,propagule,0.1,0,0.0,909,0,0
1,5,37,0.4,propagule,0.1,0,0.0,895,0,0
1,5,38,0.4,propagule,0.1,0,0.0,882,0,0
1,5,39,0.4,propagule,0.1,0,0.0,878,0,0
1,5,40,0.4,propagule,0.1,0,0.0,880,0,0
1,5,41,0.4,propagule,0.1,0,0.0,859,0,0
1,5,42,0.4,propagule,0.1,0,0.0,839,0,0
1,5,43,0.4,propagule,0.1,0,0.0,837,0,0
1,5,44,0.4,propagule,0.1,0,0.0,837,0,0
1,5,45,0.4,propagule,0.1,0,0.0,828,0,0
1,5,46,0.4,propagule,0.1,0,0.0,827,0,0
1,5,47,0.4,propagule,0.1,0,0.0,825,0,0
1,5,48,0.4,propagule,0.1,0,0.0,825,0,0
1,5,49,0.4,propagule,0.1,0,0.0,817,0,0
1,5,50,0.4,propagule,0.1,0,0.0,820,0,0
1,5,51,0.4,propagule,0.1,0,0.0,804,0,0
1,5,52,0.4,propagule,0.1,0,0.0,807,0,0
1,6,1,0.4,propagule,0.1,0,0.0,798,0,0
1,6,2,0.4,propagule,0.1,0,0.0,804,0,0
1,6,3,0.4,propagule,0.1,0,0.0,778,0,0
1,6,4,0.4,propagule,0.1,0,0.0,787,0,0
1,6,5,0.4,propagule,0.1,0,0.0,774,0,0
1,6,6,0.4,propagule,0.1,0,0.0,775,0,0
1,6,7,0.4,propagule,0.1,0,0.0,756,0,0
1,6,8,0.4,propagule,0.1,0,0.0,763,0,0
1,6,9,0.4,propagule,0.1,0,0.0,752,0,0
1,6,10,0.4,propagule,0.1,0,0.0,756,0,0
1,6,11,0.4,propagule,0.1,0,0.0,750,0,0
1,6,12,0.4,propagule,0.1,0,0.0,748,0,0
1,6,13,0.4,propagule,0.1,0,0.0,750,0,0
1,6,14,0.4,propagule,0.1,0,0.0,745,0,0
1,6,15,0.4,propagule,0.1,0,0.0,740,0,0
1,6,16,0.4,propagule,0.1,0,0.0,734,0,0
1,6,17,0.4,propagule,0.1,0,0.0,732,0,0
1,6,18,0.4,propagule,0.1,0,0.0,730,0,0
1,6,19,0.4,propagule,0.1,0,0.0,734,0,0
1,6,20,0.4,propagule,0.1,0,0.0,1085,0,0
1,6,21,0.4,propagule,0.1,0,0.0,1072,0,0
1,6,22,0.4,propagule,0.1,0,0.0,1067,0,0
1,6,23,0.4,propagule,0.1,0,0.0,1063,0,0
1,6,24,0.4,propagule,0.1,0,0.0,1064,0,0
1,6,25,0.4,propagule,0.1,0,0.0,1062,0,0
1,6,26,0.4,propagule,0.1,0,0.0,1051,0,0
1,6,27,0.4,propagule,0.1,0,0.0,1028,0,0
1,6,28,0.4,propagule,0.1,0,0.0,1029,0,0
1,6,29,0.4,propagule,0.1,0,0.0,1031,0,0
1,6,30,0.4,propagule,0.1,0,0.0,1032,0,0
1,6,31,0.4,propagule,0.1,0,0.0,1035,0,0
1,6,32,0.4,propagule,0.1,0,0.0,997,0,0
1,6,33,0.4,propagule,0.1,0,0.0,1011,0,0
1,6,34,0.4,propagule,0.1,0,0.0,977,0,0
1,6,35,0.4,propagule,0.1,0,0.0,966,0,0
1,6,36,0.4,propagule,0.1,0,0.0,950,0,0
1,6,37,0.4,propagule,0.1,0,0.0,961,0,0
1,6,38,0.4,propagule,0.1,0,0.0,914,0,0
1,6,39,0.4,propagule,0.1,0,0.0,910,0,0
1,6,40,0.4,propagule,0.1,0,0.0,875,0,0
1,6,41,0.4,propagule,0.1,0,0.0,870,0,0
1,6,42,0.4,propagule,0.1,0,0.0,853,0,0
1,6,43,0.4,propagule,0.1,0,0.0,854,0,0
1,6,44,0.4,propagule,0.1,0,0.0,829,0,0
1,6,45,0.4,propagule,0.1,0,0.0,833,0,0
1,6,46,0.4,propagule,0.1,0,0.0,819,0,0
1,6,47,0.4,propagule,0.1,0,0.0,811,0,0
1,6,48,0.4,propagule,0.1,0,0.0,797,0,0
1,6,49,0.4,propagule,0.1,0,0.0,805,0,0
1,6,50,0.4,propagule,0.1,0,0.0,792,0,0
1,6,51,0.4,propagule,0.1,0,0.0,790,0,0
1,6,52,0.4,propagule,0.1,0,0.0,781,0,0
1,7,1,0.4,propagule,0.1,0,0.0,783,0,0
1,7,2,0.4,propagule,0.1,0,0.0,774,0,0
1,7,3,0.4,propagule,0.1,0,0.0,770,0,0
1,7,4,0.4,propagule,0.1,0,0.0,758,0,0
1,7,5,0.4,propagule,0.1,0,0.0,763,0,0
1,7,6,0.4,propagule,0.1,0,0.0,750,0,0
1,7,7,0.4,propagule,0.1,0,0.0,761,0,0
1,7,8,0.4,propagule,0.1,0,0.0,746,0,0
1,7,9,0.4,propagule,0.1,0,0.0,759,0,0
1,7,10,0.4,propagule,0.1,0,0.0,745,0,0
1,7,11,0.4,propagule,0.1,0,0.0,759,0,0
1,7,12,0.4,propagule,0.1,0,0.0,745,0,0
1,7,13,0.4,propagule,0.1,0,0.0,753,0,0
1,7,14,0.4,propagule,0.1,0,0.0,740,0,0
1,7,15,0.4,propagule,0.1,0,0.0,751,0,0
1,7,16,0.4,propagule,0.1,0,0.0,739,0,0
1,7,17,0.4,propagule,0.1,0,0.0,734,0,0
1,7,18,0.4,propagule,0.1,0,0.0,712,0,0
1,7,19,0.4,propagule,0.1,0,0.0,709,0,0
1,7,20,0.4,propagule,0.1,0,0.0,1030,0,0
1,7,21,0.4,propagule,0.1,0,0.0,1025,0,0
