rep,year,week,sero,type,rate,barrier_val,barrier_prop,total_pop,n_infected,n_symptomatic
1,8,16,0.4,wave,0.1,1,0.03805555555555556,725,0,0
1,8,17,0.4,wave,0.1,1,0.03805555555555556,725,0,0
1,8,18,0.4,wave,0.1,1,0.03805555555555556,723,0,0
1,8,19,0.4,wave,0.1,1,0.03805555555555556,725,0,0
1,8,20,0.4,wave,0.1,1,0.03805555555555556,1058,0,0
1,8,21,0.4,wave,0.1,1,0.03805555555555556,1049,0,0
1,8,22,0.4,wave,0.1,1,0.03805555555555556,1005,0,0
1,8,23,0.4,wave,0.1,1,0.03805555555555556,1007,0,0
1,8,24,0.4,wave,0.1,1,0.03805555555555556,975,0,0
1,8,25,0.4,wave,0.1,1,0.03805555555555556,964,0,0
1,8,26,0.4,wave,0.1,1,0.03805555555555556,950,0,0
1,8,27,0.4,wave,0.1,1,0.03805555555555556,941,0,0
1,8,28,0.4,wave,0.1,1,0.03805555555555556,938,0,0
1,8,29,0.4,wave,0.1,1,0.03805555555555556,941,0,0
1,8,30,0.4,wave,0.1,1,0.03805555555555556,939,0,0
1,8,31,0.4,wave,0.1,1,0.03805555555555556,930,0,0
1,8,32,0.4,wave,0.1,1,0.03805555555555556,927,0,0
1,8,33,0.4,wave,0.1,1,0.03805555555555556,930,0,0
1,8,34,0.4,wave,0.1,1,0.03805555555555556,913,0,0
